,Questions,Answers
149,የኢራኑ ጄኔራል ቃሲም ሱለይማኒን የተገደሉት በማን ነው?,በአሜሪካ 
150,የኢራኑ ጄኔራል ቃሲም ሱለይማኒን የተገደሉት የት ሀገር እያሉ ነው?,በኢራቅ 
151,የኢራኑ ጄኔራል ቃሲም ሱለይማኒን በኢራቅ የት ቦታ ተገደሉ?,አውሮፕላን ማረፊያ ውስጥ
152,የኢራኑ ጄኔራል ቃሲም ሱለይማኒን በማን ትእዛዝ ሰጪነት ተገደሉ?,በፕሬዚዳንት ትራምፕ
153,በፕሬዝደንት ትራምፕ ትእዛዝ የተገደሉት ጄኔራል ቃሲም ሱለይማኒን የየት ሀገር ጄነራል ነበሩ?\t,የኢራኑ 
154,በፕሬዝደንት ትራምፕ ትእዛዝ በኢራቅ አውሮፕላን ማረፊያ ውስጥ የተገደሉት የኢራኑ ጄኔራል ማን ነበሩ?,ጀኔራል ቃሲም ሱለይማኒ
155,የሶስተኛ ወገን አጠቃቀምን የሚገድብ አዲስ የግላዊነት ማስጠበቂያ ፖሊሲ ያወጣው የቴክኖሎጂ ድርጅት ማን ነው?,ጎግል 
156,ጎግል ያስተዋወቀው የሶስተኛ ወገን አጠቃቀምን የሚገድብ አዲስ የግላዊነት ማስጠበቂያ ፖሊሲ ምን ይባላል?,ፕራይቬሲ ሳንድቦክስ
157,የኢትዮጵያ ኢኖቬሽን እና ቴክኖሎጂ ሚኒስቴር በኤሮስፔስና ሰው ሰራሽ ቴክኖሎጅ ዘርፎች ምን ከሚባል ኢንስቲቲዩት ጋር አብሮ ለመስራት ስምምነት አደረገ?,የፋሪስ ቴክኖሎጅ ኢንስቲቲዩት
158,የኢኖቬሽን እና ቴክኖሎጂ ሚኒስቴር በኤሮስፔስና ሰው ሰራሽ ቴክኖሎጅ ዘርፎች ዙሪያ ለሚደረግ ስራ በኢትዮጵያ በኩል ስምምነቱን የፈረሙት ማን ይባላሉ?,ዶክተር ኢንጂነር ጌታሁን መኩሪያ
159,ፋሪስ የቴከረኖሎጂ ኢንስቲቲዩት መስራች ማን ነው?,አቶ\xa0ኤልያስ ይርዳው
160,ተጠቃሚወች የሚለጥፏቸን መረጃዎች ተከትሎ የሚሰጡ ምላሾችን መቆጣጠር የሚያስችል አሰራር ሊሞክር መሆኑን ያሳወቀው የማኅበራዊ ድኅረ ገጽ ስም ማን ነው?,ትዊተር 
161,ትዊተር ተጠቃሚወች የሚለጥፏቸን መረጃወች ተከትሎ የሚሰጡ ምላሾችን መቆጣጠር የሚያስችል አሰራር መተግበሩ ለደንበኞቹ ምን ጥቅም ያስገኛል?,ደንበኞች በነጻነት እንዲሳተፉ ለማድረግ
162,በአዲስ አበባ መስከረም 23/2012 ዓ.ም የኢትዮጵያ ብሔራዊ አክሬዲቴሽን ጽ/ቤት ምን አይነት እውቅና ነው ያገኘው?,አይኤስኦ/አይኢሲ 17020 /2012
163,የኢትዮጵያ ብሔራዊ አክሬዲቴሽን ጽ/ቤት አይኤስኦ/አይኢሲ 17020/2012 ዓ.ም እውቅናን ያገኘው መቼ ነው?,መስከረም 23/2012
164,የኢትዮ ቴሌኮም ዋና ሥራ አስፈፃሚ ማን ናት?,ወይዘሪት ፍሬህይወት ታምሩ
165,ኢትዮ ቴሌኮም ለገበታ ለሀገር ፕሮጀክቶች ስንት ብር ድጋፍ አደረገ?,500 ሚሊዮን
166,ኢትዮ ቴሌኮም የ500 ሚሊዮን ብር ድጋፍ ለምን አደረገ?,ለገበታ ለአገር ፕሮጀክቶች
167,ሬድፎክስ የመረጃ ቋት ማዕከል የተቋቋመው በማን ነው?,የኢትዮጵያ ዳያስፖራዎች
168,ሬድፎክስን ያቋቋሙ ኢትዮጵያውያን ዳያስፖራዎች በምን ዙሪያ ልምድ ያላቸው ናቸው?,በቴሌኮም ዘርፍና በመረጃ ቴክኖሎጂ
169,የሬድፎክስ የመረጃ ቋት ማዕከል በኢትዮጵያ ብዙ ዘርፎች ጠቀሜታ እንደሚኖረው የገለፁት ማናቸው?,የገንዘብ ሚኒስትር ዴኤታ ዶክተር እዮብ ተካልኝ
170,በኢትዮጵያ የገንዘብ ሚኒስትር ዴኤታው ማን ይባላሉ ?,ዶክተር እዮብ ተካልኝ
171,በኢትዮጰጵያ የዲጂታል ኢኮኖሚውን ያጠናክራል ተብሎ የተቋቋመው የመረጃ ቁዋት ማዕከል ምን ይባላል?,ሬድፎክስ 
172,በኢትዮጰጵያ የዲጂታል ኢኮኖሚውን እንዲያጠናክር የተመሰረተው ሬድፎክስ ምን ዓይነት ማዕከል ነው?,የመረጃ ቋት
173,በኦስትሪያ በየትኛም የመንግስት መስሪያ ቤት ላይ ነው ከባድ የሳይበር ጥቃት የተፈጸመው?,የውጭ ጉዳይ ሚኒስቴር
174,በየትኛዋ የአውሮፓ ሀገር የውጭ ጉዳይ ሚኒስቴር መስሪያ ቤት ላይ ነው ከባድ የሳይበር ጥቃት የተፈጸመው?,በኦስትሪያ 
175,አል የተባለው ሰው ሰራሽ መሳሪያ ምንን ለመመርመር ነው ስራ ላይ የዋለው?,የጡት ካንሰር
176,አል የተባለው የጡት ካንሰር መመርመሪያ መሳሪያ በስንት ሰዎች ላይ ሙከራ ተደርጎ ነው ውጤታማነቱ የተረጋገጠው?,በ29 ሺህ ሴቶች
177,አል የተባለው የጡት ካንሰር መመርመሪያ ከምርመራ ውጤት አንጻር ያለውን ስህተት በምን ያህል ቀነሰ?,በ1 ነጥብ 2 በመቶ
178,አል የተባለው የጡት ካንሰር መመርመሪያ ከባለሙያ አንጻር ያለውን ስህተት በምን ያህል ቀነሰ?,በ2 ነጥብ 7 በመቶ
179,የቻይናው ግዙፉ የቴሌኮም ኩባንያ ሁዋዌ በፈረንጆቹ 2019 ምን ያህል ስልኮችን ለገበያ አቀረበ?,240 ሚሊየን
180,የቻይናው ግዙፉ የቴሌኮም ኩባንያ ሁዋዌ በፈረንጆቹ 2019 240 ሚሊየን ስልኮችን ለገበያ በማቅረቡ ምን ያሀል ገቢ ለማግኘት ቻለ?,850 ቢሊየን ዩዋን ወይም 122 ቢሊየን ዶላር
181,የሁዋዌ የ2019 ዓ.ም. ዓመታዊ ሽያጭ ከ2018 ዓ.ም. አንጻር በመቶኛ ምን ያህል ይልቃል?,18 በመቶ
182,ማይክሮሶፍት ለዊንዶውስ-10 የሚያቀርብውን የደህንነት ጥገና መቼ አቆማለው አለ?,በ2025
183,ማይክሮሶፍት ለየትኛው ዊንዶ የሚያቀርብውን የደህንነት ጥገና በ2025 እንደሚያቆም ያሳወቀው?,ለዊንዶውስ-10
184,በዓለም አቀፍ ደረጃ በአዲሱ ትውልድ ከፍተኛ ተወዳጅነትን ያተረፈው ሞባይል አምራች ቴክኖ ኩባንያ አዲሱ ምረቱን መቼ አስተዋወቀ?,ግንቦት 4 ቀን 2013 ዓ.ም
185,በዘጋቢ ፊልም ታጅቦ የቀረበው አዲስ የቴክኖ ሞባይል ምን ተብሎ ይጠራል?,ቴክኖ ካሞን 17
186,ቴክኖ ካሞን 17 የተባለው አዲሱ የቴክኖ ኩባንያ ስልክ መቼ ለገበያ ቀረበ?,ግንቦት 4 ቀን 2013 ዓ.ም
187,ቴክኖ ኩባንያ ግንቦት 4 ቀን 2013 ዓ.ም ያስተዋወቀው አዲሱ ምረቱ ምን ይባላል?,ቴክኖ ካሞን 17 ስልክ
188,የብሪታንያ ጠቅላይ ሚንስትር ማነው?,ቦሪስ ጆንሰን 
189,ሁዋዌ በአሜሪካ አገልግሎቱን ያቋረጠው ቻይና ከማን ጋር በገባችው የንግድ ጦርነት ምክንያት ነው?,ከአሜሪካ 
190,ሁዋዌ በአሜሪካ አገልግሎቱን ያቋረጠው ቻይናና አሜሪካ ወደ ምን በመሄዳቸው ምክንያት ነው?,የንግድ ጦርነት
191,ብሪታንያ ከሁዋዌ ጋር ለመስራት ፈቃደኛ በመሆኗ ከማን ጋር ያላት ግንኙነት ሊሻክር ይችላል?,ከአሜሪካ 
192,ቦሪስ ጆንሰን የብሪታንያ ምንድን ናቸው?,ጠቅላይ ሚኒስትር
193,በሥነ ጽሑፍ ዘርፍ ምን ያህል አፍሪካውያን የኖቤል ሽልማት አግኝተዋል?,ስድስት
194,በሥነ ጽሑፍ ዘርፍ የኖቤል ሽልማት ያገኙት ናዲን ጎርዲመር የምን ሀገር ዜጋ ናቸው?,ደቡብ አፍሪካ
195,በሥነ ጽሑፍ ዘርፍ የኖቤል ሽልማት ያገኙት ነጂብ ማኅፉዝ የምን ሀገር ዜጋ ናቸው?,ግብፅ
196,በሥነ ጽሑፍ ዘርፍ የኖቤል ሽልማት ካገኙ አፍሪካዊ ደራስያን መካከል የዚምባቡዌና የእንግሊዝ ዜግነት ያለው ማነው?,ዶሪስ ሌሲንግ
197,በሥነ ጽሑፍ የኖቤል ሽልማት ያሸነፉት ሊዊስ ግሉክ ምናዊ ናቸው?,አሜሪካዊው
198,አብዱልራዛቅ ፓራዳይዝ የተሰኘውን ልብ ወለድ መጻሐፋቸውን ያሳተሙት እ.ኤ.አ. መቼ ነበር?,በ1994
199,ደራሲ አብዱልራዛቅ በ20ኛው ክፍለ ዘመን የልጅ አስተዳደግ ምን እንደሚመስል ያሳዩበት መጽሐፋቸው ርእሱ ምን ይባላል?,ፓራዳይዝ
200,የፓራዳይዝ መጽሐፍ ጭብጡ ምንድን ነው?,ታንዛኒያ ውስጥ በ20ኛው ምዕት ዓመት የልጅ አስተዳደግ ምን እንደሚመስል
201,የፓራዳይዝ መጽሐፍ ደራሲ ማን ነው?,አብዱልራዛቅ
202,ደራሲ አብዱልራዛቅ የት ተወለዱ?,በዛንዚባር
203,ደራሲ አብዱልራዛቅ መቼ ተወለዱ?,እ.ኤ.አ. በ1948
204,ደራሲ አብዱልራዛቅ መቼ ተሰደዱ?,እ.ኤ.አ. በ1960ዎቹ መገባደጃ
205,ደራሲ አብዱልራዛቅ ወዴት ተሰደዱ?,እንግሊዝ
206,አብዱልራዛቅ የየት ዩኒቨርሲቲ ፕሮፌሰር ነበሩ?,በካንተርበሪው የኬንት ዩኒቨርሲቲ
207,አብዱልራዛቅ ፕሮፌሰርነታቸው በምን ዘርፍ ነበር?,የእንግሊዝኛና የድኅረ ቅኝ ግዛት ሥነ ጽሑፎች
208,ባለፈው ዓመት የኖቤል የሥነ ጽሑፍ ተሸላሚ ማናቸው?,ሊዊስ ግሉክ
209,ሊቢያ ኦይል በተለያዩ አፍሪካ ሀገራት ስንት ነዳጅ ማደያዎች አሉት?,"1,015"
210,የጂቡቲ መንግሥት የሊቢያ ኦይል ንብረቶችን ለሽያጭ አቅርቦ ሊቢያ ኦይል ጂቡቲን የገዛው የትኛው ኩባንያ ነው?,የፈረንሣይ 
211,ናሽናል ኦይል ኢትዮጵያ (ኖክ) ሊቢያ ኦይል ጂቡቲን በምን ያህል ዋጋ ገዛው? ,በ450 ሚሊዮን ብር
212,ሊቢያ ኦይል በስንት አፍሪካ ሀገራት የነዳጅ ማደያዎች ከፍቷል?,በ18 
213,ሊቢያ ኦይል ሆልዲንግ በሊቢያ ኢንቨስትመንት ባለሥልጣን በስንት ዓ.ም. ተመሠረተ?,እ.ኤ.አ. በ2004
214,ሊቢያ ኦይል ሆልዲንግ ኩባንያ አፍሪካ ውስጥ ያለውን ቢዝነስ የገዛው ከእነማን ነው?,ከሼልና ከኤክሶን ሞቢል ኩባንያዎች
215,በባህር ውኃ ብክለት ምክንያት የጂቡቲ መንግሥት የወረሳቸው የነዳጅ አቅራቢ ድርጅቶች እነማን ናቸው?,የኦይል ሊቢያ ጂቡቲና የቶታል ጂቡቲ
216,የጂቡቲ መንግሥት የቶታል ንብረቶችን ለሽያጭ አቅርቦ ቶታልን የገዛው የምን ሀገር ኩባንያ ነው?,ኖክ
217,የአዲስ አበባ ውሃና ፍሳሽ ባለስልጣን በምን ያህል ደንበኞች የሞባይል ስልኮች ላይ በተጫነ መተግበሪያ ዘመናዊ የቆጣሪ ንባብን ተግባራዊ እያደረገ ነው?,በ198 ሺህ ደንበኞች
218,የአዲስ አበባ ውሃና ፍሳሽ ባለስልጣን ዘመናዊ የቆጣሪ ንባብን መተግበሪያ ምን ዓይነት ጥቅም ለማኅበረሰቡ ይሠጣል?,ግምታዊ አሞላልን ከማስቀረት ባለፈ ደንበኞች የውሃ ፍጆታቸውን በተጠቀሙበት ወር ለመክፈል
219,አዳነ ግርማ ለኢትዮጵያ እግር ኳስ ብሔራዊ ቡድን ለስንት ዓመት በተከታታይ ተጫወተ?,ለ10
220,29ኛውን የእግር ኳስ የአፍሪካ ዋንጫ ያዘጋጀችው ማናት?,ደቡብ አፍሪካ
221,ለ29ኛውን የአፍሪካ ዋንጫ ማጣሪያ የኢትዮጵያ የእግር ኳስ ብሔራዊ ቡድን ከሱዳን አቻው ጋር ሲጫወት አዳነ ግርማ ጎል ያስቆጠረው እንዴት ነበር?,በግንባሩ ገጭቶ
222,ለ29ኛውን የአፍሪካ ዋንጫ ማጣሪያ የኢትዮጵያ የእግር ኳስ ብሔራዊ ቡድን ከሱዳን አቻው ጋር የት ባደረገው ጨዋታ ነው አዳነ ግርማ በግንባሩ ገጭቶ ጎል ያስቆጠረው?,በአዲስ አበባ ስታዲየም
223,የኢትዮጵያ ብሔራዊ ቡድን ከሱዳን አቻው ጋር ሲጫወት አዳነ ግርማ በግንባሩ ገጭቶ ጎል ያስቆጠረው ስንተኛው የአፍሪካ ዋንጫ ማጣሪያ ላይ ነበር ?,29ኛው
224,ኢትዮጵያ በ29ኛው የእግር ኳስ የአፍሪካ ዋንጫ የተሳተፈችው ከስንት ጌዜ በኋላ ነው?,ከ 39 ዓመታት
225,የኢትዮጵያ የእግር ኳስ ብሔራዊ ቡድን ከ39 ዓመታት በኋላ ስንተኛው የአፍሪካ ዋንጫ ላይ ተሳተፈ?,29ኛው
226,ኢትዮጵያ በ29ኛው የእግር ኳስ የአፍሪካ ዋንጫ ከዛምቢያ ጋር ስትጨወት ግብ ያስቆጠረው ማነው?,አዳነ ግርማ
227,ኢትዮጵያ በ29ኛው የእግር ኳስ የአፍሪካ ዋንጫ ስትጫወት አዳነ ግርማ ማን ላይ ግብ አስቆጠረ?,ዛምቢያ 
228,አዳነ ግርማ ኢትዮጵያ ስንተኛው የአፍሪካ ዋንጫ ላይ ከዛምቢያ ጋር ስትጫወት ግብ አስቆጠረ?,29ኛው
229,ኢትዮጵያ ከ39 ዓመታት በኋላ ለ29ኛው የአፍሪካ እግር ኳስ ዋንጫ ስታልፍ የኢትዮጵያ ብሔራዊ ቡድን አሰልጣኝ ማን ነበር?,ሰውነት ቢሻው
230,የኢትዮጵያ እግር ኳስ ብሔራዊ ቡድን አሰልጣኝ ሰውነት ቢሻውን የተካው ማነው?,ማሪያኖ ባሬቶ
231,ለ2017 የአፍሪካ ዋንጫ ማጣሪያ ወቅት የኢትዮጵያ ብሔራዊ ቡድን አሰልጣኝ ማን ነበር?,ዮሀንስ ሳህሌ
232,ለ2017 የአፍሪካ ዋንጫ ማጣሪያ ወቅት የኢትዮጵያ ብሔራዊ ቡድን ተደልድሎ የነበረው በምድብ ስንት ነበር?,ሁለት 
233,ከጥቅምት 21 እስከ 25 ቀን 2019 ባሉ ቀናት የደንበኞችን የግል ተንቀሳቃሽ ምስል በስህተት ለሌሎች ያጋራው ድርጅት ማን ነው?,ጎግል 
234,የደንበኞችን የግል ተንቀሳቃሽ ምስል በስህተት ለሌሎች ያጋራው ጎግል ይህ ችግር ያጋጠመው መቼ ነበር?,ጥቅምት 21 እስከ 25 ቀን \xa02019
235,ዋትስ አፕ የተሰኘው የፅሁፍ እና የምስል መልዕክት መለዋወጫ መተግበሪያ በምን ምክንያት ነው አገልግሎቱን የሚያቋርጠው?,የደንበኞችን የመረጃ ደህንነት ለመጠበቅ ታስቦ የተዘጋጀ
236,የፅሁፍ እና የምስል መልዕክት መለዋወጫ መተግበሪያን ኦፕሬቲንግ ሲስተማቸውን ማዘመን ባልቻሉ የአንድሮይድ እና አይፎን ስልኮች ላይ ሊያቋርጥ የወሰነው የስልክ መተግበሪያ ማን ይባላል?,ዋትስ አፕ
237,ዋትስ አፕ መተግበሪያው አይፎን ኦፕሬቲንግ ሲስተም ከዓይነት ስንት በታች ባላቸው ስልኮች ላይ የሚሰጠውን አገልግሎት ለማቆም አቅዷል?,አይ ኦ ኤስ 8ን ጨምሮ ከዚያ በፊት
238,ዋትስ አፕ መተግበሪያው አንድሮይድ ኦፕሬቲንግ ሲስተም ከዓይነት ስንት በታች ባላቸው ስልኮች ላይ የሚሰጠውን አገልግሎት ለማቆም አቅዷል?,አንድሮይድ 2፣3፣7 እና ከዚያ በፊት
239,የኮሮና ቫይረስ ለመጀመሪያ ጊዜ የተገኘው በየትኛው የቻይና ከተማ ነው?,ውሃን ከተማ
240,ውሃን ከተማ ከተማ የቻይና ስንተኛ ትልቋ ከተማ ናት?,ሰባተኛ 
241,የኮሮና ቫይረስ ለመጀመሪያ ጊዜ የተገኘው የት ሀገር ነው?,ቻይና 
242,እበ ለገሰ የስንት ዓመት ወጣት ነው?,የ35 ዓመት
243,በሽሬ ከተማ ለሙከራ ሔሊኮፕተር ሰርቶ ያቀረበው ወጣት ማን ይባላል?,ወጣት ዕበ ለገሰ 
244,በሽሬ ከተማ ለሙከራ ሔሊኮፕተር ሰርቶ ያቀረበው ወጣት ዕበ ለገሰ የስንተኛ ክፍል ተማሪ ነበረ?,የ10ኛ ክፍል
245,በሽሬ ከተማ የወርቅ መፈለጊያ መሳሪያ አሻሽሎ የሰራው ወጣት ማን ይባላል?,ወጣት ዕበ ለገሰ
246,ወጣት ዕበ ለገሠ የሠራው የወርቅ መፈለጊያ ማሽን በስንት ሜትር ጥልቀት ይፈልጋል? ,በአንድ ሜትር
247,ቀድሞ ይጠቀሙበት የነበረው የወርቅ መፈለጊያ ማሽን ምን ያህል ጥልቀት ይፈልጋል? ,ከ70 እስከ 80 ሳንቲ ሜትር
248,የሽሬ እንደስላሴ ከተማ ወጣቶችና ስፖርት ጉዳይ ጽ/ቤት ም/ኃላፊ ማን ይባላሉ?,አቶ ጎይቶኦም ይሰማ
249,የወጣት እበ ለገሠ የፈጠራ ሥራዎች በማህበረሰቡ ተቀባይነት ያገኘው ለምንድነው?,የሚያተኩሩት በአካባቢው ህብረተሰብ ላይ በሚታዩ መሰረታዊ ችግሮች ዙሪያ በመሆናቸው
250,እበ ለገሰ ለተጨማሪ ለስንት ወጣቶች የሥራ እድል ፈጠረ?,10
